firm_id,firm_name,razon_social,hs4,ncm,product_name_declared,exporter_profile,source_url
2751,DAYCO,DAYCO ARGENTINA S A,4010,4010.31.00,CORREAS DE TRANSMISIÓN,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2751
2751,DAYCO,DAYCO ARGENTINA S A,8409,8409.91.90,TENSORES PARA AUTOMÓVIL,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2751
2751,DAYCO,DAYCO ARGENTINA S A,8483,8483.50.90,POLEAS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2751
237,DENIMED EQUIPAMIENTOS ODONTOLÓGICOS,DENIMED S A,8414,8414.80.19,COMPRESOR,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=237
237,DENIMED EQUIPAMIENTOS ODONTOLÓGICOS,DENIMED S A,8419,8419.20.00,ESTERILIZADORA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=237
237,DENIMED EQUIPAMIENTOS ODONTOLÓGICOS,DENIMED S A,9018,9018.41.00,UNIDAD DENTAL,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=237
237,DENIMED EQUIPAMIENTOS ODONTOLÓGICOS,DENIMED S A,9022,9022.13.19,EQUIPO DE RAYOS X,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=237
2172,DENSO MANUFACTURING ARGENTINA SA,DENSO MANUFACTURING ARGENTINA S.A.,8418,8418.99.00,CONDENSADOR,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2172
2172,DENSO MANUFACTURING ARGENTINA SA,DENSO MANUFACTURING ARGENTINA S.A.,8419,8419.50.21,RADIADORES PARA AUTOS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2172
2172,DENSO MANUFACTURING ARGENTINA SA,DENSO MANUFACTURING ARGENTINA S.A.,8708,8708.29.99,ACCESORIOS PARA AUTOS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2172
