candidate_hs4,n_anchors_linking,mean_proximity,max_proximity,best_anchor_hs4,candidate_product_name_short,candidate_product_name,candidate_sector,pci,distance_travelled,accessible_market_size,accessible_market_growth_5y,dai_index,dai_percentile,dai_lead,pci_norm,acc_size_norm,acc_growth_norm,dai_norm,distance_norm_inverse,distance_percentile,attractiveness_score,feasibility_score,combined_score,combined_rank
3211,2,0.3471567672628688,0.35971189573633794,3902,Prepared driers,Prepared driers,Chemicals,1.4068042799518168,4131.725013610327,5981270.0,0.0549372690269789,1.3942752821902895,93.33333333333331,16.666666666666657,0.7977763895235994,2.4542425301587716e-05,0.16848919203729962,0.9311111111111109,0.6474573927611259,67.3913043478261,0.44101662837745004,0.7892842519361184,0.8948097932223655,37
8455,1,0.34971451546905286,0.34971451546905286,4810,Metal-rolling mills,Metal-rolling mills and rolls therefor; parts thereof,Machinery,2.3193809610522367,5559.314478300956,157956161.0,0.1461625399394339,1.1696197598902842,86.66666666666667,23.333333333333343,0.8773198058125614,0.0006481277859498171,0.1967563880557228,0.8622222222222223,0.49029048302992984,31.027667984189723,0.48801103186669886,0.6762563526260761,0.8925831069425796,38
8482,8,0.37576091890778923,0.3977710029782121,8483,Ball or roller bearings,"Ball or roller bearings, and parts thereof",Machinery,2.7014421163623665,5272.346914755865,1349782922.0,0.0811120077974698,1.1387063118016394,77.41935483870968,32.25806451612904,0.9106216095448565,0.005538446941292368,0.17659973491819195,0.7666666666666667,0.5218834628543126,37.944664031620555,0.5008453502372994,0.6442750647604897,0.8912405157988909,39
8421,6,0.3896348822269524,0.4322839784411544,8537,Centrifuges,"Centrifuges, including centrifugal dryers; filtering or purifying machinery and apparatus, for liquids or gases; parts thereof",Machinery,2.106111966509528,5045.683226732164,3311299169.0,0.126636447299941,1.1509524126588822,83.87096774193549,29.032258064516135,0.8587305247518368,0.013586966063460097,0.19070600440003468,0.8333333333333334,0.5468374375620771,44.86166007905138,0.480438504991792,0.6900853854477053,0.8900489708678655,40
2918,1,0.32600403795719135,0.32600403795719135,3204,Carboxylic acids with additional oxygen function,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulfonated, nitrated or nitrosated derivatives",Chemicals,2.143906418924427,6352.107183839703,535639999.0,0.0560257229541125,1.2714556549636062,100.0,43.333333333333336,0.8620248231095667,0.0021978450502986857,0.16882646196489273,1.0,0.40300994288251346,15.612648221343871,0.4737684883085812,0.7015049714412567,0.8873144967021666,41
8465,1,0.35417839114778366,0.35417839114778366,4810,Machine tools for working wood,"Machine tools (including machines for nailing, stapling, glueing or otherwise assembling) for working wood, cork, bone, hard rubber, hard plastics or similar hard materials",Machinery,2.3863841216686774,5086.568991745228,282366553.0,0.0892271719593265,1.2674180508708308,80.64516129032258,22.580645161290313,0.8831600386477496,0.0011586101337457278,0.17911431156773708,0.7999999999999999,0.5423362210022508,44.466403162055336,0.48664824974924553,0.6711681105011253,0.8871270302211738,42
8542,1,0.3416826022910763,0.3416826022910763,8541,Electronic integrated circuits,Electronic integrated circuits; parts thereof,Electronics,2.9397791721891844,4355.601960112156,5127182740.0,0.130126770631713,0.7999173570174466,58.06451612903226,-32.25806451612902,0.9313959116296497,0.021037923284526503,0.1917875210982044,0.5666666666666667,0.6228102174267423,61.06719367588933,0.5189043169105076,0.5947384420467045,0.8863579119437256,43
7312,1,0.3792565604141151,0.3792565604141151,4011,"Wire of iron or steel, not insulated","Stranded wire, ropes, cables, plaited bands, slings and the like, of iron or steel, not electrically insulated",Metals,1.6304925057746031,5667.322079751336,385512880.0,0.0909021506397258,1.3102401282040874,100.0,38.70967741935484,0.8172738476923814,0.0015818414918905097,0.179633322914176,1.0,0.4783996549121182,28.65612648221344,0.4539407149477073,0.7391998274560592,0.8816592091833524,44
8448,1,0.3355320068528654,0.3355320068528654,3204,Auxiliary machinery for use with knitting and textile machines,"Auxiliary machinery for use with machines of heading 8444, 8445, 8446 or 8447 (for example, dobbies, Jacquards, automatic stop motions and shuttle changing mechanisms); parts and accessories suitable for use solely or principally with the machines of this",Machinery,2.280356047106593,5318.905621658265,110402193.0,0.0742014083722821,1.1247921768318163,83.87096774193549,58.06451612903226,0.873918256068954,0.0004530037224258344,0.17445840646169392,0.8333333333333334,0.5167576978736104,37.549407114624515,0.4806869805805069,0.6750455156034718,0.880506791450667,45
2803,1,0.3395399247757533,0.3395399247757533,3404,Carbon,"Carbon, nesoi (including carbon black)",Chemicals,1.3340125309337072,3592.256802623838,190270720.0,0.1894036100037472,1.1921330534188972,80.0,16.66666666666667,0.7914316028174925,0.0007807213071269667,0.21015512934011216,0.7933333333333333,0.7068488030482124,79.64426877470356,0.44844976407055603,0.7500910681907729,0.8803915606328104,46
