hs4,hs_revision,supports_top50_line,top50_line_name,attribution_type,in_opex_named,n_firms,evidencing_firms_sample,evidence_sources
3204,HS92,39899,Manufacturas de origen industrial (confidencial),confidential,no,3,VERTRAUEN; ALFA ARGENTINA SA; LE CHARBONNIER,targeted+registry-full
3303,HS92,39899,Manufacturas de origen industrial (confidencial),confidential,no,11,KLOCKNER PENTAPLAST DE ARGENTINA; FIORDOLIVA; ALPHA & OMEGA; FITONATURE; LABORATORIO PROYAR,registry-full
3402,HS92,39899,Manufacturas de origen industrial (confidencial),confidential,no,11,ALPHA QUIMICA S.R.L.; MOSAICOS BLANGINO; EQUI CARE; JOSE GUMA S.A.; LEUCA SISTEMAS DE AIRE,targeted+registry-full
3404,HS92,39899,Manufacturas de origen industrial (confidencial),confidential,no,1,MOSAICOS BLANGINO,targeted
3505,HS92,39899,Manufacturas de origen industrial (confidencial),confidential,no,1,VERTRAUEN,targeted
3808,HS92,39899,Manufacturas de origen industrial (confidencial),confidential,no,6,LANTHER QUIMICA S.A.; Atanor — Planta Río Tercero; METALFOR S.A.; FACYT; AGROHUB,targeted+registry-full
3822,HS92,39899,Manufacturas de origen industrial (confidencial),confidential,no,1,BRIZUELA-LAB,targeted+registry-full
3901,HS92,303,Materias plásticas y sus manufacturas,broad-chapter,yes,37,BERTOTTO BOGLIONE; MISTER PET PREMIUM; VITOPEL ARGENTINA SA; ARO PLASTYC; BLONDI,registry-full
3917,HS92,303,Materias plásticas y sus manufacturas,broad-chapter,yes,10,FUNDICIÓN ARIENTE; AIMARETTI; METPAL; OLEOHIDRÁULICA TECNICORD S.A.; TALPE,registry-full
3923,HS92,303,Materias plásticas y sus manufacturas,broad-chapter,yes,30,CONAM SRL; INFOREST SRL; KLOCKNER PENTAPLAST DE ARGENTINA; ROTOR TANQUES; VITOPEL ARGENTINA SA,registry-full
3925,HS92,303,Materias plásticas y sus manufacturas,broad-chapter,yes,5,BERTOTTO BOGLIONE; LASSO SA; ROTOR TANQUES; TALPE; SCOLARI NANT E HIJOS SRL,targeted+registry-full
4010,HS92,304,Cauchos y sus manufacturas,broad-chapter,yes,5,DAYCO; AGRETEQ; SMB CLEVER; MECANIZADOS DEL CENTRO; PINDARO INDUSTRIAL,targeted+registry-full
4011,HS92,304,Cauchos y sus manufacturas,broad-chapter,yes,22,AKWEL CORDOBA ARGENTINA SA; BTI AGRI; GACELA DENTAL; GRUPO TORREON; INFAS GROUP,registry-full
4104,HS92,29899,Manufacturas de origen agropecuario (confidencial),confidential,no,35,ATILIOF; BIANCHI CUEROS ARGENTINOS; CHENNA; CURTIEMBRE RÍO TERCERO SA; CUSCO COWHIDES,registry-full
4819,HS92,306A,"Papel, cartón y sus manufacturas",broad-chapter,yes,9,ENCAPA SA; GRUPO ARCOR; PAPELERA CUMBRE SA; SOLUCIONES GRÁFICAS; CORRUGADORA CENTRO,registry-full
4823,HS92,306A,"Papel, cartón y sus manufacturas",broad-chapter,yes,30,CARTOTECNICA HORES; CONAM SRL; ENCAPA SA; GRAFIN ARGENTINA S.A.; GRUPO ARCOR,targeted+registry-full
5101,HS92,29899,Manufacturas de origen agropecuario (confidencial),confidential,no,6,LANAS MELODY; BLACK OVEJA; COOPERATIVA ALBORADA; CORUJA; MISS PIKY,registry-full
5106,HS92,29899,Manufacturas de origen agropecuario (confidencial),confidential,no,4,LACTEOS CDS - LACNAT - LOMBARDE; LANAS MELODY; CORUJA; LÁCTEOS LAS TRES,registry-full
5107,HS92,29899,Manufacturas de origen agropecuario (confidencial),confidential,no,1,LANAS MELODY,targeted
5509,HS92,39899,Manufacturas de origen industrial (confidencial),confidential,no,1,LANAS MELODY,targeted
6403,HS92,39899,Manufacturas de origen industrial (confidencial),confidential,no,30,CURTIEMBRE RÍO TERCERO SA; FLEXIMAR - INDIAN; SERMA; ZANIN HNOS.; DAS LUZ CALZADOS,registry-full
6810,HS92,39899,Manufacturas de origen industrial (confidencial),confidential,no,5,MOSAICOS BLANGINO; LA ELENENSE SA; EL CERRITO SAS; CARGNELUTTI MINERALES; EMILIA CÓRDOBA MOSAICOS,targeted+registry-full
6907,HS92,39899,Manufacturas de origen industrial (confidencial),confidential,no,5,CASA TALLER EL RANCHO; CEMENTADOS JUAN NADALIN E HIJOS S.A / NADALIN SA; INDEF; INSTRELEC; KOKESHI CREATIVA,registry-full
7309,HS92,311AZ,Resto arrabio/fundición/hierro/acero,resto,yes,4,BERTOTTO BOGLIONE; INDUMIX; O-TEK; TECNUS,targeted+registry-full
7318,HS92,311AZ,Resto arrabio/fundición/hierro/acero,resto,yes,18,BARBERO; GRUPO TORREON; METALMED; METALÚRGICA GERBAUDO SA; PELLACANI S.R.L.,registry-full
7320,HS92,311AZ,Resto arrabio/fundición/hierro/acero,resto,yes,2,FAESA; SECMAN,targeted+registry-full
8205,HS92,39899,Manufacturas de origen industrial (confidencial),confidential,no,3,ANTARES SRL; EJP HERRAMIENTAS; METALÚRGICA FLUMIGNAN,registry-full
8208,HS92,39899,Manufacturas de origen industrial (confidencial),confidential,no,1,FAESA,targeted
8408,HS92,312AA,Motores de explosión y partes,named-aggregate,yes,1,"FPT Industrial (Planta Ferreyra, Córdoba)",targeted
8413,HS92,312AB,"Bombas, motobombas, turbobombas y partes",named-aggregate,yes,34,BERTOTTO BOGLIONE; EDGE INSTRUMENTS; GEA GERGOLET AGRÍCOLA; INDUSTRIA JM; INFOREST SRL,targeted+registry-full
8415,HS92,312AC,Material para producción de frío y partes,named-aggregate,yes,1,DENSO MANUFACTURING ARGENTINA SA,targeted
8418,HS92,312AC,Material para producción de frío y partes,named-aggregate,yes,5,DENSO MANUFACTURING ARGENTINA SA; ICE SA; TECNOAIR; MICRO GREEN SA; SIMSA,registry-full
8422,HS92,312AL,Otras máquinas y aparatos mecánicos,broad-chapter,yes,7,BAG BIO; FRUSSO; CERVENY / TURBOVAC; LA POSTA DEL ÁGUILA; SSM SRL,registry-full
8426,HS92,312AF,"Máquinas para elevación, carga y descarga",named-aggregate,yes,4,AXIONLIFT; FERIOLI S.A.; SICA; INDUSTRIA FAMER,targeted+registry-full
8427,HS92,312AF,"Máquinas para elevación, carga y descarga",named-aggregate,yes,1,LINDE RODADOS MEDITERRANEA S.A,registry-full
8428,HS92,312AF,"Máquinas para elevación, carga y descarga",named-aggregate,yes,10,AXIONLIFT; AGROMEC SA; PIERSANTI - METAL NOET; TRANSFIL; AGRETEQ,targeted+registry-full
8432,HS92,312AL,Otras máquinas y aparatos mecánicos,broad-chapter,yes,11,AGROMETAL SAI; AKRON; ASCANELLI SA; BTI AGRI; IMPLEMENTOS AGRÍCOLAS ESCAÑUELA,targeted+registry-full
8433,HS92,312AL,Otras máquinas y aparatos mecánicos,broad-chapter,yes,7,IMPLEMENTOS AGRÍCOLAS ESCAÑUELA; METALFOR S.A.; BOMBASSEI ARGENTINA SA; JLS AGROMAQUINARIAS; MATERFER,registry-full
8436,HS92,312AL,Otras máquinas y aparatos mecánicos,broad-chapter,yes,18,AKRON; ASCANELLI SA; AGROMEC SA; BTA TOOLS - BARBURY TEAM S.A.; COMOFRA,targeted+registry-full
8437,HS92,312AL,Otras máquinas y aparatos mecánicos,broad-chapter,yes,18,AKRON; ASCANELLI SA; AGROMEC SA; GEA GERGOLET AGRÍCOLA; IGB TECNOLOGÍA,targeted+registry-full
8474,HS92,312AL,Otras máquinas y aparatos mecánicos,broad-chapter,yes,1,INDUMIX,targeted
8483,HS92,312AL,Otras máquinas y aparatos mecánicos,broad-chapter,yes,1,DAYCO,targeted
8501,HS92,312B,Máquinas y aparatos eléctricos y electrónicos,broad-chapter,yes,6,E SOLUTIONS; GIACOBONE; KÜGELLAGER; PERTRAK; ADAS SRL,registry-full
8504,HS92,312B,Máquinas y aparatos eléctricos y electrónicos,broad-chapter,yes,8,ARTECHE; ELECTROPART CORDOBA; MAYO TRANSFORMADORES; SERVELEC SRL; TTE,targeted+registry-full
8511,HS92,312B,Máquinas y aparatos eléctricos y electrónicos,broad-chapter,yes,1,FABRICA DE COLECTORES,targeted+registry-full
8537,HS92,312B,Máquinas y aparatos eléctricos y electrónicos,broad-chapter,yes,2,CYRUS SRL; MICRO GREEN SA,registry-full
8544,HS92,312B,Máquinas y aparatos eléctricos y electrónicos,broad-chapter,yes,3,EVOLUTION CONTROL CABLE; MAP SA; CABLESCOM,registry-full
8703,HS92,313BB,Vehículos automóviles terrestres,named-aggregate,yes,5,"CINZIA VEHÍCULOS; Renault Argentina (Planta Santa Isabel, Córdoba); Stellantis (Complejo Industrial Ferreyra, Córdoba); DAYCO; TODO SUSPENSION SA",targeted+registry-full
8704,HS92,313BB,Vehículos automóviles terrestres,named-aggregate,yes,24,"Stellantis (Complejo Industrial Ferreyra, Córdoba); Iveco Argentina (Planta Ferreyra, Córdoba); CRAVERO REPUESTOS; DRI-LEX®; FAESA",targeted+registry-full
8705,HS92,313BB,Vehículos automóviles terrestres,broad-chapter,yes,2,INDUMIX; TZR BOMBAS Y EQUIPOS PARA HORMIGÓN,targeted+registry-full
8708,HS92,313BC,Partes y piezas de vehículos y tractores,named-aggregate,yes,27,DENSO MANUFACTURING ARGENTINA SA; Volkswagen Argentina (Centro Industrial Córdoba); CAUPLAS; CRAVERO REPUESTOS; DAYCO,targeted+registry-full
8716,HS92,313BB,Vehículos automóviles terrestres,broad-chapter,yes,15,CINZIA VEHÍCULOS; AKRON; ASCANELLI SA; AGROMEC SA; BTA TOOLS - BARBURY TEAM S.A.,targeted+registry-full
9018,HS92,399A,Instrumentos óptica/fotografía/medicoquirúrgico,broad-chapter,yes,4,FEAS ELECTRONICA; DENIMED EQUIPAMIENTOS ODONTOLÓGICOS; GACELA DENTAL; TEMIS TECH / ATRIAMEDICA,targeted+registry-full
9021,HS92,399A,Instrumentos óptica/fotografía/medicoquirúrgico,broad-chapter,yes,5,PROMEDON S.A.; RAOMED SA; IMPLANT ARGENTINA - YNMO; FERNÁNDEZ BODEREAU ODONTOLOGÍA DE AVANZADA; INSTRELEC,targeted+registry-full
9403,HS92,39899,Manufacturas de origen industrial (confidencial),confidential,no,49,EN BRUTO; MUEBLES GACELA; OSCAR MASSA MUEBLES; ADAMOBILI; AIMARETTI,registry-full
