firm_id,firm_name,razon_social,exporter_profile,source_layer,hs4_or_ebops,ciiu_rev3_primary,ciiu_primary_desc,ciiu_rev3_all,in_oede_cordoba
5274,LAS TRES NIÑAS - GRUPO ADECOAGRO,L3N S.A.,Exportadora Habitual,declared-ncm,0401,1520,Elaboración de productos lácteos,1520,yes
5274,LAS TRES NIÑAS - GRUPO ADECOAGRO,L3N S.A.,Exportadora Habitual,declared-ncm,0402,1520,Elaboración de productos lácteos,1520,yes
5274,LAS TRES NIÑAS - GRUPO ADECOAGRO,L3N S.A.,Exportadora Habitual,declared-ncm,0406,1520,Elaboración de productos lácteos,1520,yes
2400,LASSO SA,LASSO S.A.,Exportadora Habitual,declared-ncm,8433,2921,Fabricación de maquinaria agropecuaria,2921,yes
2400,LASSO SA,LASSO S.A.,Exportadora Habitual,declared-ncm,8467,2922,Fabricación de máquinas herramienta,2922,yes
2400,LASSO SA,LASSO S.A.,Exportadora Habitual,declared-ncm,8474,2924,Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción,2924,yes
2400,LASSO SA,LASSO S.A.,Exportadora Habitual,declared-ncm,8716,3420,Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques,"2921,3420,3599",yes
4054,LATIN MATERIALS,VIKEMCO S.A.S.,Exportadora Habitual,declared-ncm,2507,1410,,"1410,1429",no
4054,LATIN MATERIALS,VIKEMCO S.A.S.,Exportadora Habitual,declared-ncm,2509,1410,,"1410,1429",no
4054,LATIN MATERIALS,VIKEMCO S.A.S.,Exportadora Habitual,declared-ncm,2525,1429,Explotación de minas y canteras n.c.p.,1429,yes
4054,LATIN MATERIALS,VIKEMCO S.A.S.,Exportadora Habitual,declared-ncm,2526,1429,Explotación de minas y canteras n.c.p.,1429,yes
