hs4,hs_revision,supports_top50_line,top50_line_name,primary_ccod_rubro,primary_rubro_name,attribution_type,in_opex_named,n_firms,evidencing_firms_sample,evidence_sources,usd_promedio_anual,usd_acumulado_2023_2025,share_2023_2025,descripcion_top_ncm,n_ncm,max_rubro_opex_2023_2025_avg_usd
7306,HS92,311AE,"Tubos y caños de fundición, hierro o acero",311AE,"Tubos y caños de fundición, hierro o acero",clean,yes,2,MARCO AURELIO SOSA SACIF; METPAL,registry-declared,74834.53666923239,224503.61000769713,7.62068615838254e-06,"Tubos y perfiles huecos ncop.,de hierro o acero",7,74834.53666923239
8714,HS92,313BC,Partes y piezas de vehículos y tractores,313BC,Partes y piezas de vehículos y tractores,aggregate-broad,yes,6,AB FUNDAS; EVOLUTION CONTROL CABLE; GRUPO CARLOS KARABITIAN; HP REPUESTOS; KRAFTEC / DIRT RACE,registry-declared,73896.28666920021,221688.86000760063,7.525140584018247e-06,Partes y accesorios de motocicletas (incluidos los ciclomotores),1,73896.28666920021
0904,HS92,206D,Especias,206D,Especias,clean,yes,4,AZAFRÁN RUEDO; CHIALVO SRL; EL VALLISTO; YUSPE - GRUPO DULCOR,targeted+registry-declared,73216.74333584358,219650.2300075307,7.455940095780827e-06,"Frutos de los géneros Capsicum o Pimenta,secos,s/triturados o pulverizados",1,73216.74333584358
8706,HS92,313BC,Partes y piezas de vehículos y tractores,313BC,Partes y piezas de vehículos y tractores,aggregate-broad,yes,0,,,68451.60000234687,205354.8000070406,6.970687384124535e-06,"Chasis c/motor incorporado,de vehículos automóviles p/transporte de 10 o más personas",1,68451.60000234687
3001,HS92,302C,Productos farmacéuticos,302C,Productos farmacéuticos,aggregate-broad-chapter,yes,2,TISSUM; ECOLAB CRIANZA INTENSIVA DE ABEJAS REINAS Y SUB PRODUCTOS APICOLAS,registry-declared,67761.8800023232,203285.6400069696,6.900450567124224e-06,"Sustancias humanas o animales preparadas p/usos terapéuticos o profilácticos,ncop.",1,67761.8800023232
9503,HS92,399F,Juguetes y artículos de recreación,399F,Juguetes y artículos de recreación,clean,yes,2,MAR-PLAST; ONDULÉ,registry-declared,67107.86666896747,201323.6000069024,6.8338498961141125e-06,"Juguetes que representen animales o seres no humanos,excluido rellenos",3,67107.86666896747
4008,HS92,304,Cauchos y sus manufacturas,304,Cauchos y sus manufacturas,aggregate-broad-chapter,yes,1,RUBBER,registry-declared,65422.52333557635,196267.57000672907,6.6622249594934195e-06,"Varillas y perfiles de caucho no celular,vulcanizado,s/endurecer",3,65422.52333557635
4818,HS92,306A,"Papel,cartón y sus manufacturas",306A,"Papel,cartón y sus manufacturas",aggregate-broad-chapter,yes,1,CLEAN COR S.A.,registry-declared,62104.606668795925,186313.82000638777,6.32434885652563e-06,Manteles y servilletas de papel,1,62104.606668795925
9604,HS92,399Z,Resto de MOI,399Z,Resto de MOI,aggregate-resto,yes,0,,,61769.916668784455,185309.75000635337,6.290266097896283e-06,"Tamices,cedazos y cribas,de mano",1,61769.916668784455
2701,HS92,499,Resto de combustibles ,499,Resto de combustibles ,aggregate-resto,yes,0,,,60637.58666874565,181912.76000623693,6.174956617246222e-06," Hulla bituminosa, sin aglomerar",1,60637.58666874565
8415,HS92,312AC,"Material, máquinas y aparatos para la producción de frío y sus partes",312AC,"Material, máquinas y aparatos para la producción de frío y sus partes",aggregate-broad,yes,2,DENSO MANUFACTURING ARGENTINA SA; ICE SA,targeted+registry-declared,60498.2700020742,181494.8100062226,6.160769469966515e-06," Partes de máquinas y aparatos para acondicionamiento de aire, n.c.o.p.",3,60498.2700020742
7217,HS92,311AB,"Perfiles estructurales de fundición,hierro o acero",311AB,"Perfiles estructurales de fundición,hierro o acero",clean,yes,1,SANTIAGO PALLAS,registry-declared,58636.76666867703,175910.3000060311,5.971205488975968e-06,"Alambre de hierro,acero s/alear,cincado,ncop.",3,58636.76666867703
6802,HS92,309A,Manufacturas de piedra y amianto,309A,Manufacturas de piedra y amianto,clean,yes,3,ONEMAR S.A.; ALTAMAR; KURSAAL SA,registry-declared,57608.85666864179,172826.57000592537,5.86652949500336e-06,Granito excluido plano o liso,2,57608.85666864179
